id,brightness,url,,
nasa_techdoc_19720020315,245.019752,"<a href=""http://www.archive.org/details/nasa_techdoc_19720020315"">link</a>",,
arxiv-astro-ph0406618,244.9607066,"<a href=""http://www.archive.org/details/arxiv-astro-ph0406618"">link</a>",,
analysis_offset_ios,244.9455484,"<a href=""http://www.archive.org/details/analysis_offset_ios"">link</a>",,
arxiv-astro-ph9702124,244.8691419,"<a href=""http://www.archive.org/details/arxiv-astro-ph9702124"">link</a>",,
arxiv-astro-ph0107491,244.8379639,"<a href=""http://www.archive.org/details/arxiv-astro-ph0107491"">link</a>",,
nasa_techdoc_19720025234,244.8365695,"<a href=""http://www.archive.org/details/nasa_techdoc_19720025234"">link</a>",,
bbc-rd-reports-1954-35,244.8178768,"<a href=""http://www.archive.org/details/bbc-rd-reports-1954-35"">link</a>",,
jstor-40670944,244.80385,"<a href=""http://www.archive.org/details/jstor-40670944"">link</a>",,
nasa_techdoc_19970022960,244.7407787,"<a href=""http://www.archive.org/details/nasa_techdoc_19970022960"">link</a>",,
calculationofatm00wein,244.7182028,"<a href=""http://www.archive.org/details/calculationofatm00wein"">link</a>",,
arxiv-astro-ph9906310,244.7143056,"<a href=""http://www.archive.org/details/arxiv-astro-ph9906310"">link</a>",,
nasa_techdoc_19730001889,244.709121,"<a href=""http://www.archive.org/details/nasa_techdoc_19730001889"">link</a>",,
arxiv-astro-ph0009219,244.6723303,"<a href=""http://www.archive.org/details/arxiv-astro-ph0009219"">link</a>",,
jresv110n3p145,244.6271922,"<a href=""http://www.archive.org/details/jresv110n3p145"">link</a>",,
nasa_techdoc_19970026586,244.6271021,"<a href=""http://www.archive.org/details/nasa_techdoc_19970026586"">link</a>",,
nasa_techdoc_19700004603,244.6266309,"<a href=""http://www.archive.org/details/nasa_techdoc_19700004603"">link</a>",,
arxiv-astro-ph0406628,244.5981805,"<a href=""http://www.archive.org/details/arxiv-astro-ph0406628"">link</a>",,
nasa_techdoc_20040005915,244.5836346,"<a href=""http://www.archive.org/details/nasa_techdoc_20040005915"">link</a>",,
nasa_techdoc_19910021332,244.5237547,"<a href=""http://www.archive.org/details/nasa_techdoc_19910021332"">link</a>",,
nasa_techdoc_19730015592,244.5087464,"<a href=""http://www.archive.org/details/nasa_techdoc_19730015592"">link</a>",,
arxiv-astro-ph0009230,244.502416,"<a href=""http://www.archive.org/details/arxiv-astro-ph0009230"">link</a>",,
bbc-rd-reports-1968-38,244.5011215,"<a href=""http://www.archive.org/details/bbc-rd-reports-1968-38"">link</a>",,
